Number,Time
967718928152,1050
910423116976,945
954110163161,182
377042486428,831
551897875707,596
924020015928,1148
512817313070,1031
154095769376,756
382142950853,355
753663618415,446
826995432473,395
826530746399,194
140437760640,889
785143878614,990
357348037135,386
882595274753,213
232886114332,786
585618593304,994
528174923514,1096
118913943764,784
961867461385,528
401763272471,259
582401471538,1033
557999433136,929
916930119498,1141
310203352607,184
890609961419,204
310792436975,381
934914626215,450
252648834321,547
183921689916,874
922238582997,607
546157678616,934
559922139135,689
887421769131,568
8856971428129,460
2584896298520,1244
3600442708886,1225
4584253499981,322
6620114639121,811
4916733265335,933
3618101164991,253
6866559494131,286
2928168433338,1345
6857955132714,1528
5705204307789,907
5141288770502,1347
6706218704084,1286
2241598439393,292
4370619289912,1228
9180464025514,1356
8117979548823,861
1058156024293,200
4873499740565,540
6098257377607,256
2873669399376,1276
2878493319870,1422
3674490517142,1247
5617992035105,559
3525906887541,816
1478253695956,1055
8690795359108,1349
9820491164264,1458
8480767987496,1449
3483749389527,788
6806901745990,1505
6446297739818,1440
4773958986584,1305
2896268367873,685
4791461021558,1258
8336952263789,267
9826804983795,1113
5542722154217,360
3192774230900,1255
6920947888025,624
5822423883928,1316
3547064171180,1313
3228709002549,725
6830822550730,1460
4531415414579,311
3813549138954,1380
2577678465535,541
2028807281121,679
8663955726907,410
9060630795346,1457
7621851747112,1327
1125128289489,594
9819723359989,282
4210907397718,1311
9306048189757,481
7079133165381,820
5184424559943,753
6209760090124,1326
8865487744971,986
3359418735703,342
7597147500383,549
8269702551834,1598
7074699685732,1527
1287785182940,1212
8012912333347,289
3726726014776,1281
9944890732832,1530
6526084126623,848
8259084675126,1626
7141215366899,421
47021336124744,2016
57119881112172,2087
71127526547377,378
54630008790210,2242
37376066912334,2010
70038903565728,2113
64357794022261,345
32106904856787,1032
99503299545166,1973
74345597335077,1110
55724872845180,2071
34875875711476,1621
47473969823080,1799
43673086224101,473
89301933399299,364
62153286627286,1870
97409679847753,874
75803641126190,1968
93593248569296,1906
78267745752745,797
86798152859104,1797
95654323746227,436
24859229586279,1096
68999413887210,2154
46062926548505,725
32801294078891,569
33053308369347,1238
89870300347228,1832
91920925308195,1465
64705551091176,2003
27667272142982,1633
17950330416966,1860
32318174165615,837
77926488465518,2001
93753911589599,354
73552330966193,361
70705019840464,1759
36316844961273,1030
25826823820809,1063
37527335992492,1621
87947397873580,2021
10059372535775,607
85807894338189,1100
26114651178009,937
90331419769548,2069
36192587793639,1086
59757234346856,1763
99165307383101,361
47333774951437,534
29022898978083,1014
71477624012172,2075
99316199601811,360
29286476947303,322
45401000144585,766
20287856073380,1699
39002520537204,1919
44771267330662,1733
20294235227561,310
29120476187947,348
17192877680867,652
57759854697577,321
64055099115990,2088
36768104869962,1866
75914748178322,1814
26727215190139,320
60083790674214,1962
59703354690962,1744
27396251943449,331
17840295094206,1821
43406958614952,1920
863247933204726,2930
681432379351312,2442
568521053245872,2794
575055446789370,2869
761627244114826,2376
645660411497429,544
669330709312321,836
661851489208911,1430
991856584647752,2506
750164368227139,688
646611316867329,1536
448014593921382,2639
507468948369398,2340
541350553573010,2538
640994276476914,2734
248544485665940,2297
756548815223402,2447
874130699639513,475
282960327039513,1357
679264570327468,2325
690949521128868,2627
956912188508756,2486
293183802857503,488
965347952271526,2726
658737659058380,2724
161041984413525,1621
824301354290203,487
248381614667751,1340
902982438917641,533
145617539694389,767
734407362504681,1439
638045004025771,401
172571165412221,514
400296291084951,1313
144785548242768,2188
409460862715976,2204
585290911993997,738
358988565515078,2312
223202724599793,1254
930981681916925,1174
890738604648073,449
701896662547301,725
213270942938700,2401
317681573814615,1678
970952874599165,1116
563573601262933,481
260463796296764,2140
124420358145384,2281
780272608534013,1071
392154128802712,2210
595152990425115,1826
963409792984770,3063
754010886177233,430
974265143806258,2568
417486641532839,442
130967782702930,2081
344633424861598,2240
541183553388898,2464
118062884124984,2180
919806173053465,1257
703254006659381,447
170817298564649,640
312610162029256,2479
213296674448297,802
650481994654736,2439
783578062939982,2619
805181341251069,1519
120315536246032,1911
164510520076720,2085
233243516430978,2417
8604677184581391,1881
1285797128534695,1461
3525847165224909,2013
4314134526987439,1445
1110436591504732,2519
6785896851544391,1326
1539431764642686,2960
2774040054639798,3278
6505020681143429,685
3587947001912188,2843
8619222569060756,3132
3152936236523839,498
9761115805892325,2690
8389810049218882,3396
9322701144515383,597
4676209688296327,634
8080293719362673,630
8208363323755209,1870
2091770685714639,1760
6353440493198018,3244
6943516777746396,3417
8840685930617300,3417
8318176695633608,3130
4214286328244393,621
5424300746497633,1611
5474096558091388,2965
1612746836967379,498
6705785001685378,3269
7356371105463188,3055
5132389588658002,3082
1639659416423953,496
2772196151830118,2916
5036483814390273,2152
3294535462230808,2810
3155112972180760,3005
7420975167056017,1178
6832554118328360,3346
5661820022138868,3516
9111013892325659,720
4679590615594975,1332
9192378753612895,1374
8286553430268592,3162
8259261305621844,3642
4607492428130974,2946
9737390984972809,555
9946459518983026,3341
8922943429399943,897
1021748926195744,2422
2150934343894797,1611
5228228770182181,627
7567907413366945,1331
8154551416731992,3095
6751779469484620,3275
9404983936780045,1401
3293123938593651,1694
2546215665517296,3051
5514684011912321,880
4580747236390828,2914
4733577721867459,692
9009343134322554,3765
7752236496353061,1948
9663922207430118,3705
1798077232235892,2996
6686622225922607,548
6834329768592758,3230
4508999852760988,3176
1075124606171275,1326
8035608752718268,3189
5692764944841028,3144
2766853825140231,1683
76886933209132623,2479
20661516423369031,1254
99842397241145422,4204
93616871795884134,4665
46154249077930673,1015
15268291755805836,3833
17029690751131538,3443
92133188034919656,4563
87592907439406425,3447
64023281981875059,2350
43192582090762657,1411
30487656631276852,3920
48631799830383297,2583
95861085363062688,4574
11442202780627446,3766
71634857240634432,4507
82708976190408405,3397
13515860126482982,3435
96510451624412207,762
94741903489077221,1125
35781128365189315,2028
39540380336246348,3895
31892493328401958,3947
85414400320040911,1549
57922295581772257,895
72560451483036882,4619
66751500164435272,3949
35354764321709733,2294
94123720561537799,1379
81662764620174374,4360
15251359133235705,2544
